Country,2009,2010,2011,2012,2013,2014,2015,2016
United States,15.975619,16.647389,17.493052,16.927858,17.670781,18.112041,17.987754,18.659876
China,7.156345712,8.435779576,8.616333107,10.52356693,11.78302951,13.56718474,14.75598284,16.32123643
Brazil,4.72769222,5.024736668,5.172376104,5.035923027,4.956935328,4.912884528,4.87371746,5.141478406
Canada,4.699934458,4.583866044,4.854539489,4.843538083,5.11809152,5.116676175,5.04579537,5.102614009
France,4.846880809,5.133739835,5.136962962,5.147411838,5.24075515,5.345786671,5.322599693,5.041293406
Russia,3.405905625,3.407069256,3.421138159,3.439448966,3.529732051,3.555713965,3.592457983,3.73357384
Germany,2.369168975,2.549968095,2.402858149,2.474858475,2.553799941,2.667636994,2.80530129,2.734363146
India,1.568916385,1.698125724,2.040427139,1.950315201,2.232787241,2.287163782,2.296335378,2.520748729
Japan,3.883859585,4.151444631,2.919463387,1.428947795,1.53425367,1.543024296,1.745372979,1.873550312
"Korea, South",1.454513551,1.476950269,1.549386146,1.494468279,1.402180068,1.564452648,1.655949353,1.676361563
Spain,1.279068508,1.583389032,1.432856727,1.436502018,1.633241525,1.643144539,1.492179965,1.570282056
Sweden,1.298224205,1.385586862,1.423905436,1.571534519,1.447491148,1.458096627,1.517024263,1.453001883
United Kingdom,0.884497931,0.835488944,0.970870422,1.017003465,1.137628941,1.189176194,1.401535197,1.422305502
Norway,1.222961131,1.147799123,1.185062881,1.371201907,1.24085332,1.308280218,1.301765594,1.344086524
Italy,0.727340445,0.801218032,0.850617318,0.906319502,1.103762897,1.185630512,1.053376312,1.037282728
Ukraine,0.968156156,1.045648862,1.034451045,1.033761828,0.99634198,1.004570623,0.967469145,0.915980097
Turkey,0.369735318,0.540725816,0.55327774,0.610456164,0.651416998,0.495408496,0.771621261,0.830521302
Venezuela,0.829726996,0.74190218,0.805071639,0.772943753,0.789622863,0.821445558,0.692065889,0.618727158
Vietnam,0.290000059,0.267382749,0.395407454,0.499925756,0.491657694,0.566423501,0.520654345,0.590234745
Paraguay,0.533543689,0.525364853,0.557716607,0.571296097,0.574672778,0.525172587,0.519579877,0.588421686
